# step cpu_mb gpu_mb
840 1314.61 0.00
841 1314.61 0.00
842 1314.61 0.00
843 1314.61 0.00
844 1314.61 0.00
845 1314.61 0.00
846 1314.61 0.00
847 1314.61 0.00
848 1314.61 0.00
849 1314.61 0.00
850 1314.61 0.00
851 1314.61 0.00
852 1314.61 0.00
853 1314.61 0.00
854 1314.61 0.00
855 1314.61 0.00
856 1314.61 0.00
857 1314.61 0.00
858 1314.61 0.00
859 1314.61 0.00
860 1314.61 0.00
861 1314.61 0.00
862 1314.61 0.00
863 1314.61 0.00
864 1314.61 0.00
865 1314.61 0.00
866 1314.61 0.00
867 1314.61 0.00
868 1314.61 0.00
869 1314.61 0.00
870 1314.61 0.00
871 1314.61 0.00
872 1314.61 0.00
873 1314.61 0.00
874 1314.61 0.00
875 1314.61 0.00
876 1314.61 0.00
877 1314.61 0.00
878 1314.61 0.00
879 1314.61 0.00
880 1314.61 0.00
881 1314.61 0.00
882 1314.61 0.00
883 1314.61 0.00
884 1314.61 0.00
885 1314.61 0.00
886 1314.61 0.00
887 1314.61 0.00
888 1314.61 0.00
889 1314.61 0.00
890 1314.61 0.00
891 1314.61 0.00
892 1314.61 0.00
893 1314.61 0.00
894 1314.61 0.00
895 1314.61 0.00
896 1314.61 0.00
897 1314.61 0.00
898 1314.61 0.00
899 1314.61 0.00
900 1314.61 0.00
901 1314.61 0.00
902 1314.61 0.00
903 1314.61 0.00
904 1314.61 0.00
905 1314.61 0.00
906 1314.61 0.00
907 1314.61 0.00
908 1314.61 0.00
909 1314.61 0.00
910 1314.61 0.00
911 1314.61 0.00
912 1314.61 0.00
913 1314.61 0.00
914 1314.61 0.00
915 1314.61 0.00
916 1314.61 0.00
917 1314.61 0.00
918 1314.61 0.00
919 1314.61 0.00
920 1314.61 0.00
921 1314.61 0.00
922 1314.61 0.00
923 1314.61 0.00
924 1314.61 0.00
925 1314.61 0.00
926 1314.61 0.00
927 1314.61 0.00
928 1314.61 0.00
929 1314.61 0.00
930 1314.61 0.00
931 1314.61 0.00
932 1314.61 0.00
933 1314.61 0.00
934 1314.61 0.00
935 1314.61 0.00
936 1314.61 0.00
937 1314.61 0.00
938 1314.61 0.00
939 1314.61 0.00
940 1314.61 0.00
941 1314.61 0.00
942 1314.61 0.00
943 1314.61 0.00
